phones,ram,rom,prices
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",6,128,13499
"SAMSUNG Galaxy A12 (Blue, 128 GB)",6,128,13499
"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)",6,128,13499
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)",6,128,13499
"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)",4,64,11999
"SAMSUNG Galaxy F22 (Denim Black, 128 GB)",6,128,13999
"SAMSUNG Galaxy F22 (Denim Black, 64 GB)",4,64,11999
"SAMSUNG Galaxy A12 (Black, 128 GB)",6,128,13499
"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)",6,128,13999
"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)",4,128,12499
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",4,128,12499
"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)",4,64,11999
"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)",4,64,11999
"SAMSUNG Galaxy M52 5G (Icy Blue, 128 GB)",6,128,22499
"SAMSUNG Galaxy M33 5G (Deep Ocean Blue, 128 GB)",6,128,18385
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)",4,128,12499
"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)",4,64,11999
"SAMSUNG GALAXY M13 (Aqua Green, 64 GB)",4,64,11995
"SAMSUNG GALAXY M13 (Midnight Blue, 64 GB)",4,64,12999
"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)",4,64,11499
"SAMSUNG Galaxy M12 (Black, 64 GB)",4,64,11745
"SAMSUNG Galaxy F12 (Sky Blue, 128 GB)",4,128,12499
"SAMSUNG Galaxy F13 (Nightsky Green, 128 GB)",4,128,12999
"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",4,128,12999
